AuthorName,Comment,Timestamp,Cleaned_Comment,Sentiment_Score,Sentiment_Class
@kumarchemuru1989,Jai Hind â¤,2024-11-17T05:48:57Z,jai hind,0.0,Neutral
@gamerintelugu2543,Good news â¤,2024-11-17T06:27:20Z,good news,0.7,Positive
@manugamers9787,Bokka ammi kadu Kamala Harris kuda win ayinapudu elaga news lo vasaru tirachusaka thanu kashmir lo violence garuthudi Ani pakistan ki support chasidi mindu avaru vachina maniki ammi use ledu so elanthi sollu news chappakandi vininaduku chappinadu miku time bokka,2024-11-17T06:41:51Z,bokka ammi kadu kamala harris kuda win ayinapudu elaga news lo vasaru tirachusaka thanu kashmir lo violence garuthudi ani pakistan ki support chasidi mindu avaru vachina maniki ammi use ledu elanthi sollu news chappakandi vininaduku chappinadu miku time bokka,0.8,Positive
@CMahesh-k7n,Sanatan Dharm prapanchamanta vistarinchali hara hara mahadeva shambo shankara ğŸ‰ğŸ‰ğŸ‰ğŸ‰ğŸ‰ğŸ‰,2024-11-17T08:12:12Z,sanatan dharm prapanchamanta vistarinchali hara hara mahadeva shambo shankara,0.0,Neutral
@david52582,RESPECT TO WOMEN INCREASES RAPIDLY IS GROWING AROUND THE WORLD ---> GOOD CLIMATE ---> GOOD HEALTH ---ğŸ‰,2024-11-17T10:30:41Z,respect women increases rapidly growing around world good climate good health,0.7,Positive
@JNaveen-h1n,Awesome ğŸ‘ğŸ»,2024-11-17T14:34:15Z,awesome,1.0,Positive
@ragequit-s9j,"Great, god bless her, Jai Bharat, jaihind",2024-11-17T14:58:38Z,great god bless jai bharat jaihind,0.8,Positive
@MalleshMallesh-os4wt,Jai hind Jai sriram,2024-11-17T19:06:35Z,jai hind jai sriram,0.0,Neutral
@ARUNKUMAR-th8qu,Jai Hindu,2024-11-18T05:02:11Z,jai hindu,0.0,Neutral
@narasingaraopadi8179,Nice selection ğŸ‘Œ,2024-11-18T07:46:38Z,nice selection,0.6,Positive
@dlkumar669,INTHAKI NIJAM CHEPPANDI MEE TV9 VAALLU AANANADAM PADUTUNNARA? BAADHA PADUTUNNARA?,2024-11-18T08:10:27Z,inthaki nijam cheppandi mee tv vaallu aananadam padutunnara baadha padutunnara,0.0,Neutral
@dlkumar669,INTHAKI NIJAM CHEPPANDI MEE TV9 VAALLU AANANADAM PADUTUNNARA? BAADHA PADUTUNNARA?,2024-11-18T08:10:43Z,inthaki nijam cheppandi mee tv vaallu aananadam padutunnara baadha padutunnara,0.0,Neutral
@dlkumar669,INTHAKI NIJAM CHEPPANDI MEE TV9 VAALLU AANANADAM PADUTUNNARA? BAADHA PADUTUNNARA?,2024-11-18T08:10:46Z,inthaki nijam cheppandi mee tv vaallu aananadam padutunnara baadha padutunnara,0.0,Neutral
@dlkumar669,INTHAKI NIJAM CHEPPANDI MEE TV9 VAALLU AANANADAM PADUTUNNARA? BAADHA PADUTUNNARA?,2024-11-18T08:10:49Z,inthaki nijam cheppandi mee tv vaallu aananadam padutunnara baadha padutunnara,0.0,Neutral
@dlkumar669,INTHAKI NIJAM CHEPPANDI MEE TV9 VAALLU AANANADAM PADUTUNNARA? BAADHA PADUTUNNARA?,2024-11-18T08:10:54Z,inthaki nijam cheppandi mee tv vaallu aananadam padutunnara baadha padutunnara,0.0,Neutral
@dlkumar669,INTHAKI NIJAM CHEPPANDI MEE TV9 VAALLU AANANADAM PADUTUNNARA? BAADHA PADUTUNNARA?,2024-11-18T08:10:58Z,inthaki nijam cheppandi mee tv vaallu aananadam padutunnara baadha padutunnara,0.0,Neutral
@dlkumar669,INTHAKI NIJAM CHEPPANDI MEE TV9 VAALLU AANANADAM PADUTUNNARA? BAADHA PADUTUNNARA?,2024-11-18T08:11:05Z,inthaki nijam cheppandi mee tv vaallu aananadam padutunnara baadha padutunnara,0.0,Neutral
@ramukadali4236,à°—à°¬à±à°¬à°°à± à°¸à°¿à°‚à°—à± à°¸à°¿à°¨à°¿à°®à°¾à°² à°²à±‹à°¨à±‡ à°•à°¾à°¦à±,2024-11-19T00:46:04Z,,0.0,Neutral
@el-roiletmeforu9559,à°“à°µà°°à°¾à°•à±à°·à°¨à± à°ªà±€à°•à±à°¸à±,2024-11-19T18:03:16Z,,0.0,Neutral
@vijayendriyakrishna8931,"à°à°µà°°à°¿  à°®à°‚à°šà°¿  à°µà°¾à°°à°¿à°•à±‡  à°¦à°•à±à°•à±à°¤à±à°‚à°¦à°¿ . 
à°à°µà°°à°¿  à°šà±†à°¡à±  à°µà°¾à°°à±‡  à°…à°¨à±à°­à°µà°¿à°‚à°šà°¾à°²à°¿ . 
à°‡à°¦à°¿ à°ªà±à°°à°•à±ƒà°¤à°¿ à°¨à°¿à°¯à°®à°‚ . à°¦à±€à°¨à°¿ à°¨à±à°‚à°šà°¿ à°à°µà°°à°¿à°•à°¿ à°®à°¿à°¨à°¹à°¾à°¯à°¿à°‚à°ªà± à°‰à°‚à°¡à°¦à± , à°à°µà°°à°®à±‚ à°•à±‚à°¡à°¾ à°¤à°ªà±à°ªà°¿à°‚à°šà± à°•à±‹à°²à±‡à°®à±‚ .  

à°…à°‚à°¦à±à°•à±‡ à°­à°—à°µà°‚à°¤à±à°¡à± à°®à°¨à°¿à°·à°¿à°¨à°¿ ' à°•à°°à±à°® à°¸à°¿à°¦à±à°§à°¾à°‚à°¤à°‚ ' à°¤à±‹ à°¬à°‚à°§à°¿à°‚à°šà°¿ à°µà±‡à°¸à°¾à°¡à± . 
à°  à°µà°¿à°¤à±à°¤à°¨à°®à±  à°¨à°¾à°Ÿà±à°¤à°¾à°®à±‹  à°†  à°šà±†à°Ÿà±à°Ÿà±‡  à°•à°¦à°¾ à°®à±Šà°²à°¿à°šà±‡à°¦à°¿ .",2024-11-20T09:52:59Z,,0.0,Neutral
@Mallikarjunb-g8m,Manchi cheyeli Ane vari alochanlu elane untae,2024-11-21T00:07:07Z,manchi cheyeli ane vari alochanlu elane untae,0.0,Neutral
@Prasanthipatasala,ğŸ‰ğŸ‰ğŸ™ğŸ™ğŸ‘ŠâœŠ,2024-11-23T02:34:05Z,,0.0,Neutral
@AdusumilliSrinivasarao,"Jai  bharath  , 
We proud of  Indian origin  peples 
Raising in  usa  ,in all fields",2024-11-23T05:35:19Z,jai bharath proud indian origin peples raising usa fields,0.8,Positive
@subhramanyamchappidi7296,"USA govt lo work chese vallu ee country ki favour cheyadhu, only USA policy base chessukoni work chestharu. Anavasaram ga elanti news spread cheyadam waste",2024-11-23T06:58:47Z,usa govt lo work chese vallu ee country ki favour cheyadhu usa policy base chessukoni work chestharu anavasaram ga elanti news spread cheyadam waste,-0.5,Negative
@pasupuletinarayana3413,Jai Hindu jai Sri Ram ğŸ‰ğŸ‰ğŸ‰ğŸ‰ğŸ‰ğŸ‰ğŸ‰ğŸ‰ğŸ‰ğŸ‰ğŸ‰ğŸ‰ğŸ‰ğŸ‰ğŸ‰ğŸ‰,2024-11-23T14:35:10Z,jai hindu jai sri ram,0.0,Neutral
@Jsr-l4q,à°à°‚à°¤ à°­à°¾à°°à°¤ à°®à±‚à°²à°²à± à°µà±à°¨à±à°¨à°¾ usğŸ™ğŸ¾à°•à°¿ à°…à°¨à±à°¬à°‚à°§à°‚à°—à°¾à°¨à±‡ à°µà°¾à°°à°¿ à°¦à±‡à°¶à°‚ à°…à°µà°¸à°°à°¾à°² à°¦à±ƒà°¶à±à°¯ à°¨à±‡ à°ªà°¨à°¿ à°šà±‡à°¸à±à°¤à°¾à°°à±,2024-11-23T14:52:28Z,us,0.0,Neutral
@mohanrao5632,Tulsi gabbar kani vivek ramaswamy kani Patel kaani enkevaraina america govt ki tottule,2024-11-23T14:54:01Z,tulsi gabbar kani vivek ramaswamy kani patel kaani enkevaraina america govt ki tottule,0.0,Neutral
@ravinderreddymalla-pn6kg,à°œà±ˆ à°¤à±à°²à°¸à°¿ à°œà±ˆ à°­à°¾à°°à°¤à± ğŸ’â™¥ï¸,2024-11-23T18:23:24Z,,0.0,Neutral
@chiranjeeviraopasupuleti9107,"USA and Russia misunderstood  Alien's advice and signals. To connect God with Religion is not correct. Understand Vedas and Sanatana Dharma is not an easy task. Timing, Knowledge, Vedas, Devotion and Sanatan Dharma connect Humans, Nature with God. Sanatana Dharma is not a religion, it is The Law and Order of UniverseğŸŒŒ. Deeds decide Future.",2024-11-24T04:25:49Z,usa russia misunderstood aliens advice signals connect god religion correct understand vedas sanatana dharma easy task timing knowledge vedas devotion sanatan dharma connect humans nature god sanatana dharma religion law order universe deeds decide future,0.21666666666666667,Positive
